date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:24	133285/133285	---M--	200	added ('OK')	image/jpeg	etag:%2262b41505-208a5%22	https://www.supergres.com/media/__sized__/products/ambience/image/10_sand_vein_cut_spa_p2_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/10_sand_vein_cut_spa_p2_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:24	109534/109534	---M--	200	added ('OK')	application/pdf	etag:%2266265dfa-1abde%22	https://www.supergres.com/en/downloads/watch/certification/leed_art/	D:/porject/p2/www.supergres.com/en/downloads/watch/certification/leed_art/index.html	(from https://www.supergres.com/en/collections/art/)
11:52:24	139693/139693	---M--	200	added ('OK')	image/jpeg	etag:%2262b41505-221ad%22	https://www.supergres.com/media/__sized__/products/ambience/image/11_Supergres_Light_Vein_p2_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/11_Supergres_Light_Vein_p2_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:24	141648/141648	---M--	200	added ('OK')	image/jpeg	etag:%2262b41504-22950%22	https://www.supergres.com/media/__sized__/products/ambience/image/8_sand_vein_cut_spa_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/8_sand_vein_cut_spa_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:24	162967/162967	---M--	200	added ('OK')	image/jpeg	etag:%2262b41506-27c97%22	https://www.supergres.com/media/__sized__/products/ambience/image/5_SUPERGRES_Astrum_Beige_120X120_p2_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/5_SUPERGRES_Astrum_Beige_120X120_p2_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:25	168275/168275	---M--	200	added ('OK')	image/jpeg	etag:%2262b41506-29153%22	https://www.supergres.com/media/__sized__/products/ambience/image/7_SUPERGRES_Astrum_Ivory_120x120__NEGOZIO_p1_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/7_SUPERGRES_Astrum_Ivory_120x120__NEGOZIO_p1_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:25	214378/214378	---M--	200	added ('OK')	image/jpeg	etag:%2262bdbee4-3456a%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_Beige_T20_60x60_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_Beige_T20_60x60_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:25	155365/155365	---M--	200	added ('OK')	image/jpeg	etag:%2262bdbee4-25ee5%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_PISCINA_Astrum_Ivory_60x120T20_DD22-crop-c0-5__0-5-1650x700-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_PISCINA_Astrum_Ivory_60x120T20_DD22-crop-c0-5__0-5-1650x700-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:25	40133/40133	---M--	200	added ('OK')	image/jpeg	etag:%2262b41501-9cc5%22	https://www.supergres.com/media/__sized__/products/ambience/image/3_Supergres_Amb_Light_Vein_cut_60X120_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/3_Supergres_Amb_Light_Vein_cut_60X120_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:25	13049/13049	---M--	200	added ('OK')	image/jpeg	etag:%2262b414fd-32f9%22	https://www.supergres.com/media/__sized__/products/ambience/image/3_Supergres_Amb_Light_Vein_cut_60X120_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/3_Supergres_Amb_Light_Vein_cut_60X120_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
